lines,chars,functions,loops,conditionals,recursion,arrays,pointers,structs,globals,function_calls,complexity,nesting,malloc_usage,stdio_usage,comments,blank_lines,O0_time,O1_time,O2_time,O3_time,best_flag
41,1010,2,2,2,0,6,2,0,0,11,5,3,0,1,6,6,0.0097357800,0.0095902500,0.0094257750,0.0098405900,O2
36,579,1,4,0,0,9,0,0,0,7,6,3,0,1,1,11,0.0104555200,0.0101942800,0.0116572800,0.0126589900,O1
11,326,1,1,0,0,0,0,0,0,5,5,1,0,1,2,0,0.0099662500,0.0097879800,0.0095299875,0.0114967700,O2
37,930,3,1,0,0,0,2,5,0,8,2,2,0,1,1,5,0.0095941200,0.0101151100,0.0111929800,0.0097160700,O0
15,251,1,0,0,0,0,0,0,0,4,1,1,0,1,1,3,0.0098785900,0.0097363200,0.0098972400,0.0099483800,O1
26,344,1,2,0,0,0,0,0,0,5,3,3,0,1,7,2,0.0104020667,0.0105177300,0.0090972875,0.0094210667,O2
29,644,1,1,2,0,3,0,0,0,6,4,2,0,1,4,4,0.0099665900,0.0100462300,0.0169598800,0.0096069400,O3
66,721,1,8,0,0,0,3,0,0,9,9,3,0,1,22,10,0.0096906100,0.0097804100,0.0095728400,0.0097877700,O2
30,736,1,0,0,0,0,8,0,0,9,1,1,0,1,7,6,0.0100616900,0.0097590000,0.0094662500,0.0097641600,O2
57,1295,4,3,1,0,0,8,7,0,16,5,3,1,1,17,4,0.0097577300,0.0093949667,0.0097527900,0.0095721100,O1
28,854,1,4,2,0,4,4,0,0,4,7,1,1,1,6,8,0.0096746667,0.0094847700,0.0097701300,0.0097983900,O1
23,373,2,0,1,1,0,0,0,0,8,2,1,0,1,2,6,0.0100148700,0.0095852000,0.0099486400,0.0104685200,O1
47,977,1,0,6,0,0,0,0,0,15,7,1,0,1,7,8,0.0095249750,0.0137415100,0.0096783700,0.0097242600,O0
22,347,1,1,0,0,0,1,0,0,4,2,2,0,1,1,6,0.0097174300,0.0096879600,0.0093108250,0.0097541100,O2
14,359,1,1,0,0,0,1,0,0,4,2,2,0,1,1,0,0.0096653300,0.0094543100,0.0098103100,0.0099161600,O1
36,532,1,1,1,0,0,0,0,0,4,3,3,0,1,6,10,0.0094873200,0.0096250200,0.0097183000,0.0102361300,O0
44,1025,3,4,1,0,8,6,0,0,10,6,2,0,1,10,8,0.0175798167,0.0099401700,0.0096574300,0.0094513600,O3
25,505,1,0,0,0,0,4,0,0,10,1,1,0,1,2,8,0.0102048000,0.0101447400,0.0099894000,0.0097377500,O3
14,387,1,0,0,0,0,2,0,0,4,1,1,0,1,1,3,0.0099123000,0.0097317100,0.0097670200,0.0096208100,O3
16,241,1,1,0,0,0,1,0,0,4,2,2,0,1,0,6,0.0101467600,0.0095984000,0.0097940400,0.0099401900,O1
41,1184,1,4,2,0,8,2,0,0,12,7,3,0,1,8,5,0.0096421000,0.0099578500,0.0099358600,0.0095280200,O3
27,575,2,1,0,0,2,1,0,0,7,2,2,0,1,4,7,0.0094307250,0.0096466200,0.0097109700,0.0133124167,O0
15,324,1,0,0,0,0,0,0,0,3,1,1,0,1,3,4,0.0096337200,0.0096997900,0.0094513200,0.0101282100,O2
15,324,1,0,0,0,0,0,0,0,3,1,1,0,1,3,4,0.0098588600,0.0099103500,0.0096995500,0.0098548300,O2
15,248,1,0,0,0,0,0,0,0,4,1,1,0,1,1,2,0.0096263800,0.0098589900,0.0092780667,0.0095078000,O2
38,958,1,0,1,0,0,2,0,0,12,4,2,0,1,5,5,0.0096000200,0.0099669100,0.0098670500,0.0094786500,O3
13,279,1,0,0,0,0,0,0,0,4,4,1,0,1,1,2,0.0099933300,0.0095530700,0.0097599000,0.0169531200,O1
14,225,1,0,0,0,0,0,0,0,4,1,1,0,1,1,3,0.0098725400,0.0100108750,0.0095204500,0.0096902400,O2
27,507,1,0,1,0,0,0,0,0,5,11,2,0,1,1,2,0.0097211300,0.0095510300,0.0099116300,0.0099641900,O1
25,401,1,1,2,0,0,0,0,0,4,4,4,0,1,2,2,0.0117384200,0.0093610300,0.0096937900,0.0096476400,O1
34,882,1,0,1,0,0,3,0,0,3,2,1,0,1,20,3,0.0101362700,0.0094176500,0.0097692700,0.0097297100,O1
37,890,3,2,1,0,0,2,0,0,10,8,2,0,1,3,4,0.0095898000,0.0093479800,0.0094616700,0.0096719500,O1
14,370,1,0,2,0,0,0,0,0,7,5,2,0,1,0,0,0.0100754100,0.0096702900,0.0170685700,0.0105826375,O1
17,361,2,0,1,0,0,1,0,0,9,5,3,0,0,2,1,0.0167741400,0.0175263750,0.0103991200,0.0150922100,O2
40,635,1,6,0,0,7,1,0,0,8,8,4,0,1,1,4,0.0148235200,0.0192936125,0.0137201750,0.0146788100,O2
43,757,3,2,0,0,6,5,0,0,7,3,2,1,1,2,9,0.0101173000,0.0091569100,0.0092708625,0.0093332625,O1
42,642,3,0,3,1,0,3,0,0,8,5,2,0,1,1,9,0.0095347000,0.0096074900,0.0093584000,0.0094873300,O2
16,287,1,0,1,0,0,0,0,0,5,2,2,0,1,1,3,0.0146718000,0.0138373125,0.0104533000,0.0096036200,O3
20,402,2,0,1,1,0,0,0,0,9,2,2,0,1,0,0,0.0093621500,0.0092582400,0.0095662000,0.0098788300,O1
26,446,1,3,0,0,0,2,0,0,6,4,2,0,1,3,8,0.0100018700,0.0097407800,0.0106302300,0.0100698800,O1
40,853,1,6,0,0,8,0,0,0,11,7,3,0,1,1,3,0.0099584875,0.0096264900,0.0098660750,0.0097333600,O1
